order_date,year,mm,week_day,register_pre_1d,register_pre_2d,register_pre_3d,register_pre_4d,register_pre_5d,register_pre_6d,register_pre_7d,active_cnt_1d,active_cnt_2d,active_cnt_3d,active_cnt_4d,active_cnt_5d,active_cnt_6d,active_cnt_7d,orders_cnt,orders_amt,if_holiday
20150218,2015,2,5,21758,20683,19687,19957,21092,19894,19890,14601,14744,14504,12993,13937,10603,14408,2265,1058405.84,1
20150219,2015,2,5,21069,21758,20683,19687,19957,21092,19894,15514,14601,14744,14504,12993,13937,10603,3287,1332465.8,1
20150220,2015,2,5,21362,21069,21758,20683,19687,19957,21092,14289,15514,14601,14744,14504,12993,13937,4053,1773004.25,1
20150221,2015,2,5,24173,21362,21069,21758,20683,19687,19957,14189,14289,15514,14601,14744,14504,12993,4961,2282768.85,1
20150222,2015,2,5,28926,24173,21362,21069,21758,20683,19687,15052,14189,14289,15514,14601,14744,14504,4120,1907751.19,1
20150223,2015,2,5,31714,28926,24173,21362,21069,21758,20683,17551,15052,14189,14289,15514,14601,14744,3297,1399540.23,1
20150224,2015,2,5,29893,31714,28926,24173,21362,21069,21758,17603,17551,15052,14189,14289,15514,14601,2213,911121.16,1
20150225,2015,2,3,25985,29893,31714,28926,24173,21362,21069,16200,17603,17551,15052,14189,14289,15514,1919,996313.88,0
20150226,2015,2,4,21833,25985,29893,31714,28926,24173,21362,13551,16200,17603,17551,15052,14189,14289,1426,1020347.27,0
20150227,2015,2,5,19331,21833,25985,29893,31714,28926,24173,12482,13551,16200,17603,17551,15052,14189,1169,884753.23,0
20150228,2015,2,6,18000,19331,21833,25985,29893,31714,28926,11641,12482,13551,16200,17603,17551,15052,1541,759837.41,0
20150301,2015,3,0,16497,18000,19331,21833,25985,29893,31714,2215456,11641,12482,13551,16200,17603,17551,1591,651286.67,0
20150302,2015,3,1,15338,16497,18000,19331,21833,25985,29893,2215881,2215456,11641,12482,13551,16200,17603,1403,1548894.22,0
20150303,2015,3,2,10979,15338,16497,18000,19331,21833,25985,2217332,2215881,2215456,11641,12482,13551,16200,1208,987921.49,0
20150304,2015,3,3,14647,10979,15338,16497,18000,19331,21833,9187,2217332,2215881,2215456,11641,12482,13551,1300,819230.56,0
20150305,2015,3,4,13440,14647,10979,15338,16497,18000,19331,9335,9187,2217332,2215881,2215456,11641,12482,1073,698105.29,0
20150306,2015,3,5,16418,13440,14647,10979,15338,16497,18000,8151,9335,9187,2217332,2215881,2215456,11641,1948,920448.2,0
20150307,2015,3,6,16881,16418,13440,14647,10979,15338,16497,8104,8151,9335,9187,2217332,2215881,2215456,1915,728908.08,0
20150308,2015,3,0,18592,16881,16418,13440,14647,10979,15338,9924,8104,8151,9335,9187,2217332,2215881,757,415115.69,0
20150309,2015,3,1,18441,18592,16881,16418,13440,14647,10979,9720,9924,8104,8151,9335,9187,2217332,827,861524.62,0
20150310,2015,3,2,12908,18441,18592,16881,16418,13440,14647,8800,9720,9924,8104,8151,9335,9187,1025,762208.03,0
20150311,2015,3,3,11938,12908,18441,18592,16881,16418,13440,8200,8800,9720,9924,8104,8151,9335,1025,792607.91,0
20150312,2015,3,4,12629,11938,12908,18441,18592,16881,16418,8609,8200,8800,9720,9924,8104,8151,1361,925451.38,0
20150313,2015,3,5,9334,12629,11938,12908,18441,18592,16881,9403,8609,8200,8800,9720,9924,8104,2125,1242233.1,0
20150314,2015,3,6,15321,9334,12629,11938,12908,18441,18592,9950,9403,8609,8200,8800,9720,9924,1748,732478.5,0
20150315,2015,3,0,16220,15321,9334,12629,11938,12908,18441,10753,9950,9403,8609,8200,8800,9720,1188,562587.42,0
20150316,2015,3,1,20983,16220,15321,9334,12629,11938,12908,10672,10753,9950,9403,8609,8200,8800,1194,904300.1,0
20150317,2015,3,2,15188,20983,16220,15321,9334,12629,11938,9673,10672,10753,9950,9403,8609,8200,1291,877897.51,0
20150318,2015,3,3,14885,15188,20983,16220,15321,9334,12629,9042,9673,10672,10753,9950,9403,8609,1386,982862.89,0
20150319,2015,3,4,66354,14885,15188,20983,16220,15321,9334,62767,9042,9673,10672,10753,9950,9403,2048,1087375.29,0
20150320,2015,3,5,67978,66354,14885,15188,20983,16220,15321,61659,62767,9042,9673,10672,10753,9950,3340,1457234.49,0
20150321,2015,3,6,69049,67978,66354,14885,15188,20983,16220,62800,61659,62767,9042,9673,10672,10753,3131,1165165.19,0
20150322,2015,3,0,18481,69049,67978,66354,14885,15188,20983,10763,62800,61659,62767,9042,9673,10672,1407,547573.37,0
20150323,2015,3,1,18750,18481,69049,67978,66354,14885,15188,12710,10763,62800,61659,62767,9042,9673,1529,924856.17,0
20150324,2015,3,2,16779,18750,18481,69049,67978,66354,14885,12452,12710,10763,62800,61659,62767,9042,1870,1082908.38,0
20150325,2015,3,3,15301,16779,18750,18481,69049,67978,66354,11117,12452,12710,10763,62800,61659,62767,2405,1201206.26,0
20150326,2015,3,4,14632,15301,16779,18750,18481,69049,67978,11051,11117,12452,12710,10763,62800,61659,2700,1289675.04,0
20150327,2015,3,5,16224,14632,15301,16779,18750,18481,69049,10963,11051,11117,12452,12710,10763,62800,3790,1640145.55,0
20150328,2015,3,6,18531,16224,14632,15301,16779,18750,18481,11862,10963,11051,11117,12452,12710,10763,3347,1212427.2,0
20150329,2015,3,0,20230,18531,16224,14632,15301,16779,18750,13286,11862,10963,11051,11117,12452,12710,1974,830855.39,0
20150330,2015,3,1,20565,20230,18531,16224,14632,15301,16779,13251,13286,11862,10963,11051,11117,12452,1561,988031.69,0
20150331,2015,3,2,19303,20565,20230,18531,16224,14632,15301,14245,13251,13286,11862,10963,11051,11117,1587,1180951.48,0
20150401,2015,4,3,17930,19303,20565,20230,18531,16224,14632,11107,14245,13251,13286,11862,10963,11051,1744,1251201.6,0
20150402,2015,4,5,19050,17930,19303,20565,20230,18531,16224,11221,11107,14245,13251,13286,11862,10963,2008,1196911.08,1
20150403,2015,4,5,19948,19050,17930,19303,20565,20230,18531,10063,11221,11107,14245,13251,13286,11862,3978,1777585.26,1
20150404,2015,4,5,22253,19948,19050,17930,19303,20565,20230,12765,10063,11221,11107,14245,13251,13286,4767,1928551.53,1
20150405,2015,4,5,25246,22253,19948,19050,17930,19303,20565,13877,12765,10063,11221,11107,14245,13251,3167,1198893.3,1
20150406,2015,4,5,27571,25246,22253,19948,19050,17930,19303,14192,13877,12765,10063,11221,11107,14245,1366,617063.64,1
20150407,2015,4,2,25168,27571,25246,22253,19948,19050,17930,13188,14192,13877,12765,10063,11221,11107,1084,787973.88,0
20150408,2015,4,3,19716,25168,27571,25246,22253,19948,19050,10581,13188,14192,13877,12765,10063,11221,1276,992279.94,0
20150409,2015,4,4,16531,19716,25168,27571,25246,22253,19948,9625,10581,13188,14192,13877,12765,10063,1651,1158113.4,0
20150410,2015,4,5,16736,16531,19716,25168,27571,25246,22253,9426,9625,10581,13188,14192,13877,12765,2825,1441292.7,0
20150411,2015,4,6,18425,16736,16531,19716,25168,27571,25246,10225,9426,9625,10581,13188,14192,13877,2611,1385221.5,0
20150412,2015,4,0,21920,18425,16736,16531,19716,25168,27571,11238,10225,9426,9625,10581,13188,14192,1427,802716.6,0
20150413,2015,4,1,22898,21920,18425,16736,16531,19716,25168,12129,11238,10225,9426,9625,10581,13188,1417,1460304,0
20150414,2015,4,2,22166,22898,21920,18425,16736,16531,19716,11644,12129,11238,10225,9426,9625,10581,1535,1244734.85,0
20150415,2015,4,3,19666,22166,22898,21920,18425,16736,16531,11145,11644,12129,11238,10225,9426,9625,1743,1286450.54,0
20150416,2015,4,4,20048,19666,22166,22898,21920,18425,16736,12052,11145,11644,12129,11238,10225,9426,2103,1642515.62,0
20150417,2015,4,5,20976,20048,19666,22166,22898,21920,18425,12851,12052,11145,11644,12129,11238,10225,3202,1961867.57,0
20150418,2015,4,6,20555,20976,20048,19666,22166,22898,21920,13071,12851,12052,11145,11644,12129,11238,2409,1360676.79,0
20150419,2015,4,0,19873,20555,20976,20048,19666,22166,22898,11901,13071,12851,12052,11145,11644,12129,1559,880472.04,0
20150420,2015,4,1,19233,19873,20555,20976,20048,19666,22166,11218,11901,13071,12851,12052,11145,11644,1529,1252649.05,0
20150421,2015,4,2,18728,19233,19873,20555,20976,20048,19666,11952,11218,11901,13071,12851,12052,11145,1644,1481059.53,0
20150422,2015,4,3,19750,18728,19233,19873,20555,20976,20048,9605,11952,11218,11901,13071,12851,12052,1875,1598201.79,0
20150423,2015,4,4,20595,19750,18728,19233,19873,20555,20976,10117,9605,11952,11218,11901,13071,12851,2260,1578421.53,0
20150424,2015,4,5,22629,20595,19750,18728,19233,19873,20555,10006,10117,9605,11952,11218,11901,13071,3834,2281540.3,0
20150425,2015,4,6,24620,22629,20595,19750,18728,19233,19873,15854,10006,10117,9605,11952,11218,11901,3563,1811964.42,0
20150426,2015,4,0,26778,24620,22629,20595,19750,18728,19233,15018,15854,10006,10117,9605,11952,11218,2162,1113124.26,0
20150427,2015,4,1,27241,26778,24620,22629,20595,19750,18728,14549,15018,15854,10006,10117,9605,11952,1987,1448849.55,0
20150428,2015,4,2,24748,27241,26778,24620,22629,20595,19750,10049,14549,15018,15854,10006,10117,9605,2459,2002365.14,0
20150429,2015,4,5,23923,24748,27241,26778,24620,22629,20595,11733,10049,14549,15018,15854,10006,10117,3135,1803878.7,1
20150430,2015,4,5,24407,23923,24748,27241,26778,24620,22629,12160,11733,10049,14549,15018,15854,10006,6823,3271084.1,1
20150501,2015,5,5,28478,24407,23923,24748,27241,26778,24620,13573,12160,11733,10049,14549,15018,15854,6742,2820090.12,1
20150502,2015,5,5,32384,28478,24407,23923,24748,27241,26778,16153,13573,12160,11733,10049,14549,15018,4877,1531748.76,1
20150503,2015,5,5,23795,32384,28478,24407,23923,24748,27241,15647,16153,13573,12160,11733,10049,14549,2424,855018.72,1
20150504,2015,5,1,12341,23795,32384,28478,24407,23923,24748,11478,15647,16153,13573,12160,11733,10049,1415,1456339.8,0
20150505,2015,5,2,150,12341,23795,32384,28478,24407,23923,5077,11478,15647,16153,13573,12160,11733,1449,1311814.71,0
20150506,2015,5,3,29504,150,12341,23795,32384,28478,24407,5111,5077,11478,15647,16153,13573,12160,1492,1351473.11,0
20150507,2015,5,4,33993,29504,150,12341,23795,32384,28478,13013,5111,5077,11478,15647,16153,13573,1687,1705569.11,0
20150508,2015,5,5,39086,33993,29504,150,12341,23795,32384,15244,13013,5111,5077,11478,15647,16153,2562,1785353.7,0
20150509,2015,5,6,16998,39086,33993,29504,150,12341,23795,15626,15244,13013,5111,5077,11478,15647,2387,1320582.71,0
20150510,2015,5,0,18946,16998,39086,33993,29504,150,12341,10691,15626,15244,13013,5111,5077,11478,1362,778961.64,0
20150511,2015,5,1,19677,18946,16998,39086,33993,29504,150,10496,10691,15626,15244,13013,5111,5077,1410,1523909.8,0
20150512,2015,5,2,18072,19677,18946,16998,39086,33993,29504,9382,10496,10691,15626,15244,13013,5111,1585,1821154.98,0
20150513,2015,5,3,18636,18072,19677,18946,16998,39086,33993,9047,9382,10496,10691,15626,15244,13013,1539,1476679.86,0
20150514,2015,5,4,20246,18636,18072,19677,18946,16998,39086,23112,9047,9382,10496,10691,15626,15244,1719,1436744.49,0
20150515,2015,5,5,20804,20246,18636,18072,19677,18946,16998,24161,23112,9047,9382,10496,10691,15626,2838,1938036.48,0
20150516,2015,5,6,20925,20804,20246,18636,18072,19677,18946,117878,24161,23112,9047,9382,10496,10691,2678,1169869.5,0
20150517,2015,5,0,20590,20925,20804,20246,18636,18072,19677,158639,117878,24161,23112,9047,9382,10496,1724,684281.58,0
20151224,2015,12,4,19877,19334,20331,20721,21998,20999,20457,20300,19084,21311,22079,22141,17142,17277,3402,2150607.57,0
20151119,2015,11,4,22537,23005,20761,19612,21514,19525,18202,19652,15670,13931,14861,15113,14740,14473,1981,1363735.03,0
20151120,2015,11,5,20543,22537,23005,20761,19612,21514,19525,20759,19652,15670,13931,14861,15113,14740,2884,1475735.37,0
20151221,2015,12,1,20721,21998,20999,20457,18589,19446,20791,22079,22141,17142,17277,17085,17016,17904,2272,1562179.56,0
20151226,2015,12,6,22370,21550,19877,19334,20331,20721,21998,18871,21206,20300,19084,21311,22079,22141,3973,1848192.74,0
20151228,2015,12,1,21932,22976,22370,21550,19877,19334,20331,17214,17713,18871,21206,20300,19084,21311,2615,2118367.4,0
20151229,2015,12,2,22784,21932,22976,22370,21550,19877,19334,16159,17214,17713,18871,21206,20300,19084,3059,2428488.77,0
20151230,2015,12,3,22402,22784,21932,22976,22370,21550,19877,16712,16159,17214,17713,18871,21206,20300,4079,3089002.52,0
20151231,2015,12,5,23955,22402,22784,21932,22976,22370,21550,17405,16712,16159,17214,17713,18871,21206,6793,3520247.79,1
20160101,2016,1,5,26059,23955,22402,22784,21932,22976,22370,19577,17405,16712,16159,17214,17713,18871,9816,3720661.64,1
20160102,2016,1,5,31888,26059,23955,22402,22784,21932,22976,20918,19577,17405,16712,16159,17214,17713,7104,2603172.42,1
